regular_task_id,task_name,task_department_name,task_type,members,task_description,task_files,task_due_date,cron,previous_regular_task_id,status,knowledge_center,sub_task_id,sub_task_name,sub_task_value,sub_task_path,created_at,updated_at
5710,Inward Quantity Issue,TechTeam,Irregular Task,{'Shubhachintan Negi': 1003},Inward quantity not showing in manage shipment page,,,,0,Done,0,794,Meeting,,,29-07-2021 09:58:57,29-07-2021 09:57:01
5710,Inward Quantity Issue,TechTeam,Irregular Task,{'Shubhachintan Negi': 1003},Inward quantity not showing in manage shipment page,,,,0,Done,0,793,Kanban Structure Report,,,29-07-2021 09:58:57,29-07-2021 09:57:01
